Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.45710611979471666	0.15122919050876857	0.5807998702375532
DTLZ2	0.34431158219728053	0.12469451878273129	0.10864997978492204
DTLZ3	0.8635979776143862	0.41573115555405965	0.7062907893970494
DTLZ4	0.40631518368814135	0.11070823015373406	0.10179472480226971
DTLZ5	0.34351041624795947	0.13057731003632925	0.10387208581563179
DTLZ6	0.537271972898081	0.11369944260440398	0.10251267379662028
DTLZ7	0.62030681443511	0.5247615162404574	0.5250343117480717
WFG1	0.7204109282830616	1.0140984333072418	0.12128311154340853
WFG2	0.7812238609351242	0.806036582531172	0.7577610462972432
WFG3	0.3375666654053411	0.06844958963285397	0.04535306623754946
WFG4	0.3672816491981875	0.46080666072541854	0.1321738542860154
WFG5	0.3896813932029373	0.13695333847065405	0.12738653367962025
WFG6	0.3484417903787338	0.14888639144179494	0.10130185768276827
WFG7	0.3586960294205086	0.15123052623277078	0.09675422492434951
WFG8	0.6119412170375634	0.7735466117861952	0.5626211604890806
WFG9	0.37921728248187464	0.21204841907692523	0.1366161090758113
