Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.015106064210501155	0.045860347816053616	1.9304715991457726
DTLZ2	0.012455779996762688	0.005566253543061009	0.00525620113590614
DTLZ3	0.9677723370163244	0.1701028967466657	6.488591311976762
DTLZ4	0.09097074053681782	0.005698378273246908	0.005302485792484029
DTLZ5	0.010784169807260675	0.005219407633874128	0.005092707392514631
DTLZ6	0.034128396539070995	0.00514236172649822	0.004991739216305176
DTLZ7	0.008179246067204273	0.00422451480627468	0.004147752713471512
WFG1	0.2916651030571818	0.45489141686200335	0.00630353147201436
WFG2	0.12532587463682643	0.006851030491202195	0.003969142858080752
WFG3	0.014376621210454093	0.0071029798588845205	0.005387739566145692
WFG4	0.012297641971918287	0.023240928605345785	0.006470737060606156
WFG5	0.0336931799214512	0.027755710139400258	0.027580402735777027
WFG6	0.015234544690180667	0.0063032700734680725	0.009194926410076172
WFG7	0.012202478110216968	0.006744248523370015	0.005272566192708248
WFG8	0.2096233678222356	0.16846866386053955	0.23735906860432673
WFG9	0.01564542939541572	0.011116216363137383	0.007660640127490792
