Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.004819248395387107	0.06767582329899763	0.13699663264854578
DTLZ2	0.0002365850105052004	9.439824170337148e-05	2.4276146027707907e-05
DTLZ3	0.056966355764723864	0.05208634000802255	0.0
DTLZ4	0.05795876157336107	8.514589466783901e-05	3.582452428841774e-05
DTLZ5	0.000174046996523051	0.00010221469750294072	1.9376683748469592e-05
DTLZ6	0.02404960981180984	4.789656094245922e-05	3.073863671053108e-05
DTLZ7	0.00011993034976108122	6.693104431136672e-05	4.8267802864122926e-05
WFG1	0.11742872650587721	0.008565598416461264	1.906784049066395e-05
WFG2	0.0011792786691959439	0.0006637786261796119	0.0008005201233285413
WFG3	0.0005781686199782576	0.000333131781434078	6.225842827600452e-05
WFG4	0.0003020639972164189	0.0021261141880127075	0.0011559969282944262
WFG5	0.00023023767132501134	3.663014350468859e-05	3.961516549005941e-05
WFG6	0.008826606759940304	0.00030044056786083205	0.007883145538660465
WFG7	0.00026248406925800894	0.00024445463887515234	2.1248657568567184e-05
WFG8	0.008807627113585615	0.0031383858299022147	0.0016395638362682156
WFG9	0.0015123373817646796	0.00046444964285971736	0.002099636383456029
