Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	7.713280962954743e-05	0.003541435321273355	0.09658678856837288
DTLZ2	1.4336092735211752e-05	1.3727665123614924e-06	1.505587080126593e-06
DTLZ3	0.026545819472524938	0.005598061905964335	0.16789124809168207
DTLZ4	0.008702969858281737	2.228431032344154e-06	1.8445427774810215e-06
DTLZ5	1.7561952360434343e-05	8.203910372804708e-06	5.510156260386266e-06
DTLZ6	0.0014172117495807872	3.558116820218273e-06	4.772642753326808e-06
DTLZ7	2.487761682043657e-05	1.0856782954036407e-05	1.0876817378878009e-05
WFG1	0.004336816918083304	0.0006148246738681703	2.3475841452896837e-06
WFG2	0.003482670770582078	5.0043612913203936e-05	2.3015058387212043e-05
WFG3	1.2581750761999564e-05	3.6350170028030173e-06	2.6576706976976044e-06
WFG4	1.2426133928102604e-05	3.252422211137896e-05	7.363245236882377e-06
WFG5	4.102890423954329e-06	9.638906057627884e-07	8.690138974599974e-07
WFG6	0.00028540457066346083	7.722359840610696e-06	0.00024692671157909747
WFG7	8.779183065237279e-06	1.3681445426612198e-06	1.0344670148820427e-06
WFG8	0.0005969700897821434	0.0002230256865843966	0.000208218163095554
WFG9	1.0404224970453933e-05	4.432005228221299e-06	1.598729100383952e-05
