Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.489645112756202	0.4943848737813693	0.0
DTLZ2	0.2093198014724786	0.2103987077923933	0.2108181469644045
DTLZ3	0.0	0.21037941387641	0.0
DTLZ4	0.2092876375389851	0.2103434814791689	0.2106666369074595
DTLZ5	0.2110598965393328	0.2120355740344811	0.2124525401257654
DTLZ6	0.1833243564488266	0.2123290943728938	0.2124726440093333
DTLZ7	0.3292638788124817	0.330030761798645	0.3301186902260675
WFG1	0.473306149084706	0.1167780555208536	0.6341864337233395
WFG2	0.5611375837276193	0.5615423950713151	0.5645165067016346
WFG3	0.4922003829195214	0.4925350731570977	0.4948964606812912
WFG4	0.2173601022777531	0.2018192951494529	0.2173775899673531
WFG5	0.1948436407567396	0.1962793642647522	0.196260105456908
WFG6	0.2034759564195385	0.2087877998947397	0.2067999588208839
WFG7	0.2091913924402871	0.2091964492843739	0.2108132103921893
WFG8	0.1465766307919455	0.1479021811252595	0.1371942442010032
WFG9	0.2375108691547688	0.2355428454140997	0.2384851435291161
