Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.0197285213637269	0.0102395007905005	1.0
DTLZ2	0.022036934328385	0.0169961760017777	0.0150365142037189
DTLZ3	1.0	0.0174410742214768	1.0
DTLZ4	0.0225393856455027	0.0176081537840777	0.0160988830637276
DTLZ5	0.0151447392417842	0.0105919979126367	0.008646335779316
DTLZ6	0.1445653113920928	0.0092223627798373	0.0085525263166083
DTLZ7	-0.00048473007281901737	-0.0028149423031313	-0.0030821172185604
WFG1	0.256489892904561	0.8165549618685218	0.0037652708126392
WFG2	0.0056472500320735	0.0049299121019564	-0.0003403035529536691
WFG3	0.0106527457021501	0.0099800016753731	0.0052334952839387
WFG4	0.0206792882776187	0.0906987359045763	0.0206004971082828
WFG5	0.1677700427252585	0.161637678799543	0.1617199383835208
WFG6	0.040197813994543	0.0151416890895201	0.0245183950241725
WFG7	0.0227617094029479	0.0227380863388558	0.0151853814073833
WFG8	0.3107035742712736	0.304469994593939	0.3548255158590936
WFG9	0.0337069425145496	0.0417136820980587	0.0297431889087964
