Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	8.574793995539344e-05	5.773203466572191e-07	0.08938440585783569
DTLZ2	1.5533374505055875e-05	1.4337224411618095e-06	1.7862924607723284e-06
DTLZ3	0.029141223195933402	5.514777522420402e-05	0.11282016727924862
DTLZ4	1.0971332516872463e-05	2.130477747773127e-06	1.940385625511475e-06
DTLZ5	1.2880730659213578e-05	1.1009289096866538e-05	8.45096461070643e-06
DTLZ6	0.0013773101008443998	4.9123626926558936e-06	7.504770282062013e-06
DTLZ7	4.0581364006275246e-05	1.8985964954012753e-05	1.7952164902257438e-05
WFG1	0.0080776018428113	0.0002036991176534008	3.043160425099953e-06
WFG2	0.007303767911306361	5.408382656836596e-05	1.3080759914881079e-05
WFG3	1.734496825431172e-05	4.512175783797295e-06	4.528227579521615e-06
WFG4	1.8236010652465868e-05	4.465867617197588e-05	5.913992627843036e-06
WFG5	5.628092566005243e-06	9.02038148336377e-07	1.4647390797492901e-06
WFG6	0.0001262372418179242	1.208299523122882e-05	0.00019585040021430266
WFG7	1.2871823614964525e-05	1.7816632164670038e-06	1.4074839363915247e-06
WFG8	0.0008260207262965002	0.0003015455136366001	7.322167579329984e-05
WFG9	1.0903361894164633e-05	7.623157693629589e-06	2.3459768802731743e-05
