Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.0037182871697923	6.465251716710006e-05	2.826583237323993
DTLZ2	0.00027096195663679984	5.766690862010022e-05	3.7250225001699954e-05
DTLZ3	0.9483175489291313	0.0009463518378931999	3.567834047258505
DTLZ4	0.00023310142948600003	3.692007568650022e-05	2.4015728012900025e-05
DTLZ5	0.00012368945420690013	6.975673814850003e-05	6.297951049479998e-05
DTLZ6	0.019838336692666495	2.5160518334399907e-05	6.0074741855599975e-05
DTLZ7	0.0001292862964889	0.0001545535452136999	7.376346150839998e-05
WFG1	0.16657725188981476	0.00708638111325427	6.366296043069995e-05
WFG2	0.0068939204796723	0.00037020158711969977	9.354578012305968e-05
WFG3	0.0004264833815277999	0.00024076870941240006	4.337637872299993e-05
WFG4	0.00027569027406470006	0.0016226851903686015	0.0009258610400494
WFG5	0.0001450833990463002	2.930071525780037e-05	5.0375573553099184e-05
WFG6	0.0042858660754033	0.00024881044333350004	0.0056012075378817
WFG7	0.00028928664335589995	0.00021537620658930012	3.073490231739976e-05
WFG8	0.005632605117888698	0.0062834795109106	0.004301597908263399
WFG9	0.0011445743898741995	0.0004592007520425002	0.0019661106698752
