Problem	NSGAII	SMPSO	AutoNSGAII
DTLZ1	0.3789595655860594	2.3545934960720953	0.4401260446830209
DTLZ2	3.5797155158408456e-05	3.0349401874066767e-05	7.5204996380756815e-06
DTLZ3	0.1543587811617453	4.4056912995711786	0.6804004312959875
DTLZ4	6.406076013732007e-05	2.401841560023676e-05	9.20115159653856e-06
DTLZ5	1.8171009601185284e-05	1.0891572250027349e-05	1.4875371942846101e-05
DTLZ6	0.002951222611509983	7.633771910857114e-06	1.1149815618892038e-05
DTLZ7	4.168042782547007e-05	1.1327646802796832e-05	1.0465805176033776e-05
WFG1	0.010685182163599352	0.003832417063375959	8.278545636142889e-06
WFG2	6.908695038881666e-05	3.6416365069110445e-05	1.3564292067884791e-05
WFG3	2.7285309136902007e-05	2.256715000798584e-05	1.4104480108758414e-05
WFG4	5.340634826269504e-05	0.0001751793275100773	3.832458892886883e-05
WFG5	2.315776839536137e-05	6.2298857829314285e-06	8.52929603009317e-06
WFG6	0.0006249543426411794	1.324500392252013e-05	0.0005242718949205735
WFG7	4.0285895992247374e-05	3.267174622879562e-05	1.3495988186359786e-05
WFG8	0.0031882837455492847	0.001031615140760798	0.0013096965804874335
WFG9	0.00011753376708886731	7.244918104171121e-05	3.460655009770218e-05
